question,ground_truth,generated_answer,context,retrieved_indices,f1_per_question
Was Qatar University founded in 1973?,Yes,Yes,"Passage 1: In recent years Qatar has placed great emphasis on education. Along with the countryâs free healthcare, citizens enjoy free education from kindergarten through to university. Qatar University was founded in 1973.  More recently, with the support of the Qatar Foundation,  some major American universities have opened branch campuses in Education City, Qatar. These include Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College.  In addition, Northwestern University will offer undergraduate programs in communication and journalism starting in fall 2008. In 2004, Qatar established the Qatar Science & Technology Park at Education City to link those universities with industry. Education City is also home to a fully accredited International Baccalaureate school, Qatar Academy. Two Canadian institutions, College of the North Atlantic and the University of Calgary  also operate campuses in Doha.

Passage 2: After domination by the Ottoman and British empires for centuries, Qatar became an independent state on September 3, 1971.

Passage 3: Map of Qatar","[2583, 2540, 2570]",1.0
Is Qatar bordered by Saudi Arabia to the south?,Yes,yes,"Passage 1: Map of Qatar

Passage 2: The Qatari peninsula juts 100 miles  (160 km) into the Persian Gulf from Saudi Arabia and is slightly smaller than Connecticut. Much of the country consists of a low, barren plain, covered with sand. To the southeast lies the spectacular Khor al Adaid (""Inland Sea""), an area of rolling sand dunes surrounding an inlet of the Gulf. There are mild winters and very hot, humid summers.

Passage 3: In terms of English phonemics, the vowels sound halfway between short u   and broad a  . The q and the t have no direct counterparts, but are closest to the unaspirated allophones of English k and t. However, since these allophones cannot occur in these positions in English, in this context they will sound more like English g and d. So the closest pronunciation, according to English phonemics, to the original Arabic might be   or  . ), officially the State of Qatar (Arabic:  Ø¯ÙÙØ© ÙØ·Ø±   transliterated as Dawlat Qatar), is an Arab emirate in Southwest Asia, occupying the small Qatar Peninsula on the northeasterly coast of the larger Arabian Peninsula. It is bordered by Saudi Arabia to the south; otherwise the Persian Gulf surrounds the state.","[2570, 2571, 2537]",1.0
What bordered by Saudi?,Qatar,Qatari peninsula,"Passage 1: The Qatari peninsula juts 100 miles  (160 km) into the Persian Gulf from Saudi Arabia and is slightly smaller than Connecticut. Much of the country consists of a low, barren plain, covered with sand. To the southeast lies the spectacular Khor al Adaid (""Inland Sea""), an area of rolling sand dunes surrounding an inlet of the Gulf. There are mild winters and very hot, humid summers.

Passage 2: Map of Qatar

Passage 3: Although the peninsular land mass that makes up Qatar has sustained humans for thousands of years, for the bulk of its history the arid climate fostered only short-term settlements by nomadic tribes. Clans such as the Al Khalifa and the Al Saud (which would later ascend thrones of Bahrain and Saudi Arabia respectively) swept through the Arabian peninsula and camped on the coasts within small fishing and pearling villages.","[2571, 2570, 2541]",0.0
Who served as the headquarters and one of the main launching sites of the US invasion of Iraq in 2003 ?,Qatar.,Qatar,"Passage 1: Qatar served as the headquarters and one of the main launching sites of the US invasion of Iraq  in 2003.

Passage 2: In December 2005,  President  Traian BÄsescu and U.S. Secretary of State  Condoleezza Rice signed an agreement that would allow a U.S. military presence at several Romanian facilities primarily in the eastern part of the country.  U.S. Department of State - Background Note: Romania - U.S.-ROMANIAN RELATIONS

Passage 3: In 1973, Egypt, along with Syria, launched the October War, a surprise attack against the Israeli forces occupying the Sinai Peninsula and the Golan Heights.  It was an attempt to liberate the territory Israel had captured 6 years earlier. Both the US and the USSR intervened and a cease-fire was reached. Despite not being a complete military success, most historians agree that the October War presented Sadat with a political victory that later allowed him to pursue peace with Israel.","[2548, 3150, 862]",0.0
Has Qatar a modern Telecommunication system centered in Doha ?,Yes,Qatar has a modern Telecommunication system,"Passage 1: Qatar has a modern Telecommunication system centered in Doha. Tropospheric scatter to Bahrain; microwave radio relay to Saudi Arabia and UAE; submarine cable to Bahrain and UAE; satellite earth stations - 2 Intelsat (1 Atlantic Ocean and 1 Indian Ocean) and 1 Arabsat. People can call to Qatar using their submarine cable, satellite or using VoIP (Voice over Internet Protocol); however, Qtel has interfered with VoIP systems in the past, and Skype's website has been blocked before. Following complaints from individuals, the website has been unblocked; and Paltalk has been permanently blocked.

Passage 2: In terms of English phonemics, the vowels sound halfway between short u   and broad a  . The q and the t have no direct counterparts, but are closest to the unaspirated allophones of English k and t. However, since these allophones cannot occur in these positions in English, in this context they will sound more like English g and d. So the closest pronunciation, according to English phonemics, to the original Arabic might be   or  . ), officially the State of Qatar (Arabic:  Ø¯ÙÙØ© ÙØ·Ø±   transliterated as Dawlat Qatar), is an Arab emirate in Southwest Asia, occupying the small Qatar Peninsula on the northeasterly coast of the larger Arabian Peninsula. It is bordered by Saudi Arabia to the south; otherwise the Persian Gulf surrounds the state.

Passage 3: Map of Qatar","[2586, 2537, 2570]",0.0
Was Qatar University founded in 1973 ?,Yes,Qatar University was founded in 1973,"Passage 1: In recent years Qatar has placed great emphasis on education. Along with the countryâs free healthcare, citizens enjoy free education from kindergarten through to university. Qatar University was founded in 1973.  More recently, with the support of the Qatar Foundation,  some major American universities have opened branch campuses in Education City, Qatar. These include Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College.  In addition, Northwestern University will offer undergraduate programs in communication and journalism starting in fall 2008. In 2004, Qatar established the Qatar Science & Technology Park at Education City to link those universities with industry. Education City is also home to a fully accredited International Baccalaureate school, Qatar Academy. Two Canadian institutions, College of the North Atlantic and the University of Calgary  also operate campuses in Doha.

Passage 2: After domination by the Ottoman and British empires for centuries, Qatar became an independent state on September 3, 1971.

Passage 3: Map of Qatar","[2583, 2540, 2570]",0.0
"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?",Yes,Qatar.,"Passage 1: Although Qatar had the legal status of a dependency, resentment festered against the Bahraini Al Khalifas along the eastern seaboard of the Qatari peninsula. In 1867, the Al Khalifas launched a successful effort to quash the Qatari rebels sending a massive naval force to Wakrah. However, the Bahraini aggression was in violation on the 1820 Anglo-Bahraini Treaty. The diplomatic response of the British  to this violation set into motion the political forces that would eventuate in the founding of the state of Qatar. In addition to censuring Bahrain for its breach of agreement, the British Protectorate (per Colonel Lewis Pelly) asked to negotiate with a representative from Qatar. The request carried with it a tacit recognition of Qatarâs status as distinct from Bahrain. The Qataris chose as their negotiator the respected entrepreneur and long-time resident of Doha, Muhammed bin Thani. His clan, the Al Thanis, had taken relatively little part in Gulf politics, but the diplomatic foray ensured their participation in the movement towards independence and their dominion as the future ruling family, a dynasty that continues to this day. The results of the negotiations left Qatar with a new-found sense of political selfhood, although it did not gain official standing as a British protectorate until 1916.

Passage 2: The country has undergone a period of liberalization and modernisation after the current Emir of Qatar, Hamad bin Khalifa Al-Thani, came to power after becoming Emir in place of his father. Under his rule, Qatar became the first Arab country in the Persian Gulf where women gained the right to vote   The role of Saudi women  as well as holding senior positions in government.  Also, women can dress mostly as they please in public (although in practice local Qatari women generally don the black abaya). Before the liberalisation, it was taboo for men to wear shorts in public. The laws of Qatar tolerate alcohol to a certain extent. However, public bars and nightclubs in Qatar operate only in expensive hotels and clubs, much like in the UAE and Bahrain, though the number of establishments has yet to equal that of UAE. Qatar has further been liberalised due to the 15th Asian Games, but is cautious of becoming too liberal in their law making the country a viable weekend immigration from their western neighbour. Overall Qatar has yet to reach the more western laws of UAE or Bahrain, and though plans are being made for more development, the government is cautious.

Passage 3: Since 1995, Emir Hamad bin Khalifa Al Thani has ruled Qatar, seizing control of the country from his father Khalifa bin Hamad Al Thani while the latter vacationed in Switzerland. Under Emir Hamad, Qatar has experienced a notable amount of sociopolitical liberalization, including the enfranchisement of women, a new constitution, and the launch of Al Jazeera, a leading English and Arabic news source, which operates a website and satellite television news channel. Qatar ranks as the ninth richest country in the world per capita .","[2544, 2582, 2547]",0.0
Will oil and gas probably remain the backbone of Qatar 's economy for some time to come ?,Yes,The country has oil estimated at 15 billion barrels,"Passage 1: Qatar's national income primarily derives from oil and natural gas exports. The country has oil estimated at 15 billion barrels (2.4 kmÂ³), while gas reserves in the giant north field (South Pars for Iran) which straddles the border with Iran and are almost as large as the peninsula itself are estimated to be between 800â900tcf (Trillion Cubic Feet - 1tcf is equal to around 80 million barrels of oil equivalent). Qataris' wealth and standard of living compare well with those of Western European states; Qatar has one of the highest GDP per capita in the Arab World.  With no income tax, Qatar is also one of the two least-taxed sovereign states in the world (the other is Bahrain).

Passage 2: Before the discovery of oil the economy of the Qatari region focused on fishing and pearling. After the introduction of the Japanese cultured pearl onto the world market in the 1920s and 1930s, Qatar's pearling industry faltered. However, the discovery of oil reserves, beginning in the 1940s, completely transformed the state's economy. Now the country has a high standard of living, with many social services offered to its citizens and all the amenities of any modern state.

Passage 3: Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.","[2564, 2563, 2566]",0.0
"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes,Yes,"Passage 1: Qatar is aiming to become a role model for economic and social transformation in the region. Large scale investment in all social and economic sectors will also lead to the development of a strong financial market.

Passage 2: The Qatar Financial Centre (QFC) provides financial institutions with a world class financial services platform situated in an economy founded on the development of its hydrocarbons resources. It has been created with a long term perspective to support the development of Qatar and the wider region, develop local and regional markets, and strengthen the links between the energy based economies and global financial markets.

Passage 3: Apart from Qatar itself, which needs to raise the capacity of its financial services to support more than $130 billion worth of projects, the QFC also provides a conduit for financial services providers to access nearly $1 trillion of investment across the GCC as a whole over the next decade.","[2566, 2567, 2568]",1.0
What happened in these positions in english?,These allophones cannot occur there.,;Language,"Passage 1: ;Language

Passage 2: Coolidge, reporters, and cameramen

Passage 3:   INE, (in Spanish)","[2370, 441, 46]",0.0
Can these allophones not occur in these positions in english?,yes,Yes,"Passage 1: *12 premolars, 3 in each side of each jaw.

Passage 2: It is also possible that penguin comes from the Latin pinguis, âfatâ. This is supported by the fact that the corresponding words in most other languages (e.g., French pingouin, German Pinguin) have i instead of e as the first vowel.  However, a Welsh 'i' is often sound-shifted to an 'e' in the English language, .

Passage 3: Upper Egyptian folk musicians from Kom Ombo.","[1217, 996, 929]",1.0
"Is -RRB- , officially the state of qatar -LRB- arabic (: : transliterated as dawlat qatar -RRB- , an arab emirate in southwest asia?",Yes,yes,"Passage 1: In terms of English phonemics, the vowels sound halfway between short u   and broad a  . The q and the t have no direct counterparts, but are closest to the unaspirated allophones of English k and t. However, since these allophones cannot occur in these positions in English, in this context they will sound more like English g and d. So the closest pronunciation, according to English phonemics, to the original Arabic might be   or  . ), officially the State of Qatar (Arabic:  Ø¯ÙÙØ© ÙØ·Ø±   transliterated as Dawlat Qatar), is an Arab emirate in Southwest Asia, occupying the small Qatar Peninsula on the northeasterly coast of the larger Arabian Peninsula. It is bordered by Saudi Arabia to the south; otherwise the Persian Gulf surrounds the state.

Passage 2: Map of Qatar

Passage 3: Qatar ( ;   The pronunciation of Qatar in English varies; see List of words of disputed pronunciation for details.","[2537, 2570, 2536]",1.0
Does Romania border Hungary?,Yes.,Yes,"Passage 1: Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.

Passage 2: With a surface area of 238,391 kmÂ², Romania is the largest country in southeastern Europe and the twelfth-largest in Europe. A large part of Romania's border with Serbia and Bulgaria is formed by the Danube. The Danube is joined by the Prut River, which forms the border with the Republic of Moldova. The Danube flows into the Black Sea within Romania's territory forming the Danube Delta, the second largest delta in Europe,  and a biosphere reserve and a biodiversity World Heritage Site. Other important rivers are the Siret, running north-south through Moldavia, the Olt, running from the oriental Carpathian Mountains to Oltenia, and the MureÅ, running through Transylvania from East to West.

Passage 3: Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.","[3045, 3092, 3046]",0.0
Is Romania a secular state?,Yes.,yes,"Passage 1: Romania is a secular state, thus having no national religion. The dominant religious body is the Romanian Orthodox Church; its members make up 86.7% of the population according to the 2002 census. Other important religions include Roman Catholicism (4.7%), Protestantism (3.7%), Pentecostal denominations (1.5%) and the Romanian Greek-Catholic Church (0.9%).  Romania also has a historically significant Muslim minority concentrated in Dobrogea, mostly of Turkish ethnicity and numbering 67,500 people.     Romanian Census Website with population by religion  Based on the 2002 census data, there are also 6,179 Jews, 23,105 people who are of no religion and/or atheist, and 11,734 who refused to answer. On December 27, 2006, a new Law on Religion was approved under which religious denominations can only receive official registration if they have at least 20,000 members, or about 0.1 percent of Romania's total population.  Romania President Approves Europe's ""Worst Religion Law""

Passage 2: Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.

Passage 3: Romania is divided into forty-one counties (judeÅ£e), as well as the municipality of Bucharest (BucureÅti) - which is its own administrative unit. Each county is administered by a county council (consiliu judeÅ£ean), responsible for local affairs, as well as a prefect, who is appointed by the central government but cannot be a member of any political party.","[3106, 3045, 3144]",0.0
Is the president elected by popular vote?,Yes.,21.6% of the popular vote,"Passage 1: He ran in the election of 1856 as the party's candidate, attempting to win a non-consecutive second term as President (a feat accomplished only once in American politics, by Grover Cleveland).  His running mate was Andrew Jackson Donelson, nephew of former president Andrew Jackson. Fillmore and Donelson finished third, carrying only the state of Maryland and its eight electoral votes; but he won 21.6% of the popular vote, one of the best showings ever by a Presidential third-party candidate.

Passage 2: Electoral votes by state, 1924.

Passage 3: While Washington was the unanimous choice for president, Adams came in second in the electoral college and became Vice President in the presidential election of 1789. He played a minor role in the politics of the early 1790s and was reelected in 1792. Washington never asked Adams for input on policy and legal issues.  Ferling (1992) ch 15","[184, 437, 670]",0.0
How many counties is Romania divided into?,41.,forty-one,"Passage 1: Romania is divided into forty-one counties (judeÅ£e), as well as the municipality of Bucharest (BucureÅti) - which is its own administrative unit. Each county is administered by a county council (consiliu judeÅ£ean), responsible for local affairs, as well as a prefect, who is appointed by the central government but cannot be a member of any political party.

Passage 2: Alongside the county structure, Romania is also divided into four NUTS-1 level divisions (Romanian:Macroregiunea) and eight development regions corresponding to NUTS-2 divisions in the European Union.    These divisions have no administrative capacity and are instead used for co-ordinating regional development projects and statistical purposes. The NUTS-3 level divisions reflect Romania's administrative-territorial structure, and correspond to the 41 counties and the Bucharest municipality.

Passage 3: Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.","[3144, 3145, 3045]",0.0
What is the highest mountain in Romania?,Moldoveanu Peak.,Moldoveanu Peak,"Passage 1: Romania's terrain is distributed roughly equally between mountainous, hilly and lowland territories. The Carpathian Mountains dominate the center of Romania, with fourteen of its mountain ranges reaching above the altitude of 2,000 meters. The highest mountain in Romania is Moldoveanu Peak (2544 m). In south-central Romania, the Carpathians sweeten into hills, towards the BÄrÄgan Plains. Romania's geographical diversity has led to an accompanying diversity of flora and fauna. 

Passage 2: Topographic map of Romania.

Passage 3: Tower Center International in Bucharest is the tallest building in Romania","[3093, 3091, 3114]",0.5
What is the official language of Romania?,Romanian.,Romanian,"Passage 1: The official language of Romania is Romanian, an Eastern Romance language related to Italian, French, Spanish, Portuguese and Catalan. Romanian is spoken as a first language by 91% of the population, with Hungarian and Romani being the most important minority languages, spoken by 6.7% and 1.1% of the population, respectively.  Until the 1990s, there was also a substantial number of German-speaking Transylvanian Saxons, even though many have since emigrated to Germany, leaving only 45,000 native German speakers in Romania. In localities where a given ethnic minority makes up more than 20% of the population, that minority's language can be used in the public administration and justice system, while native-language education and signage is also provided. English and French are the main foreign languages taught in schools. English is spoken by 5 million Romanians, French is spoken by 4-5 million, and German, Italian and Spanish are each spoken by 1-2 million people.   Outsourcing IT Ã®n RomÃ¢nia, Owners Association of the Software and Service Industry, retrieved November 13 2005  Historically, French was the predominant foreign language spoken in Romania, even though English has since superseded it. Consequently, Romanian English-speakers tend to be younger than Romanian French-speakers. Romania is, however, a full member of La Francophonie, and hosted the Francophonie Summit in 2006.   Chronology of the International Organization La Francophonie  German has been taught predominantly in Transylvania, due to traditions tracing back to the Austro-Hungarian rule in this province.

Passage 2: Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.

Passage 3: Romania has been a member of the European Union since January 1 2007, and has the ninth largest territory in the EU and with 22 million people      it has the 7th largest population among the EU member states. Its capital and largest city is Bucharest (   ), the sixth largest city in the EU with almost 2.5 million people. In 2007, Sibiu, a large city in Transylvania, was chosen as European Capital of Culture.    Romania joined NATO on March 29, 2004, and is also a member of the Latin Union, of the Francophonie and of OSCE.","[3103, 3045, 3047]",0.0
Is the Romanian economy doing well?,Yes.,Romania is the 10th country in the world with a bigger percentage of people connected to the internet than the USA.,"Passage 1: After a series of privatisations and reforms in the late 1990s and early 2000s, government intervention in the Romanian economy is somewhat lower than in other European economies.  Index of Economic Freedom: Romania  In 2005, the government replaced Romania's progressive tax system with a flat tax of 16% for both personal income and corporate profit, resulting in the country having the lowest fiscal burden in the European Union,  Taxation trends in the EU, Eurostat, 26 June 2007  a factor which has contributed to the growth of the private sector. The economy is predominantly based on services, which account for 55% of GDP, even though industry and agriculture also have significant contributions, making up 35% and 10% of GDP, respectively. Additionally, 32% of the Romanian population is employed in agriculture and primary production, one of the highest rates in Europe.  Since 2000, Romania has attracted increasing amounts of foreign investment, becoming the single largest investment destination in Southeastern and Central Europe. Foreign direct investment was valued at â¬8.3 billion in 2006.  Romania: FDI reached over EUR 8.3 bn  According to a 2006 World Bank report, Romania currently ranks 49th out of 175 economies in the ease of doing business, scoring higher than other countries in the region such as Hungary, Poland and the Czech Republic.  Economy Ranking, Doing Business 2007 Report, World Bank  Additionally, the same study judged it to be the world's second-fastest economic reformer in 2006.  Doing Business 2007 Report, World Bank  The average gross wage per month in Romania is 1411 lei as of September 2007,    Average wage in September 2007, National Institute of Statistics, Romania  equating to â¬403.3 (US$597.3) based on international exchange rates, and $1001.1 based on purchasing power parity.  Implied PPP conversion rate for Romania, IMF, 2006  The percentage of computers connected to the internet in the country reaches almost 70% and more than 50% have broadband connections reaching a 4 Mbit/s (megabits per sec) average. From this aspect, Romania is the 10th country in the world with a bigger percentage of people connected to the internet than the USA.   ""RomÃ¢naÅul High-Tech"" A C.U.R.S. poll published in the Jurnalul NaÅ£ional newaspaper:

Passage 2: With a GDP per capita (PPP) of $11,800  GDP per capita based on purchasing power parity Economic Indicators for Romania, 2004-2007, IMF World Economic Outlook, April 2007  estimated for 2007, Romania is considered an upper-middle income economy  World Bank Country Classification Groups, 2005  and has been part of the European Union since January 1, 2007. After the Communist regime was overthrown in late 1989, the country experienced a decade of economic instability and decline, led in part by an obsolete industrial base and a lack of structural reform. From 2000 onwards, however, the Romanian economy was transformed into one of relative macroeconomic stability, characterised by high growth, low unemployment and declining inflation. In 2006, according to the Romanian Statistics Office, GDP growth in real terms was recorded at 7.7%, one of the highest rates in Europe.    GDP in 2006, National Institute of Statistics, Romania  Unemployment in Romania was at 3.9% in September 2007    Main Macroeconomic Indicators, September 2007, National Institute of Statistics, Romania  which is very low compared to other middle-sized or large European countries such as Poland, France, Germany and Spain. Foreign debt is also comparatively low, at 20.3% of GDP.  ""Romania CIA World Factbook 2006""  Exports have increased substantially in the past few years, with a 25% year-on-year rise in exports in the first quarter of 2006. Romania's main exports are clothing and textiles, industrial machinery, electrical and electronic equipment, metallurgic products, raw materials, cars, military equipment, software, pharmaceuticals, fine chemicals, and agricultural products (fruits, vegetables, and flowers). Trade is mostly centred on the member states of the European Union, with Germany and Italy being the country's single largest trading partners. The country, however, maintains a large trade deficit, importing 37% more goods than it exports.

Passage 3: Tourism focuses on the country's natural landscapes and its rich history and is a significant contributor to the Romania's economy.  In 2006, the domestic and international tourism generated about 4.8% of gross domestic product and 5.8% of the total jobs (about half a million jobs).  World Economic Forum - Country/Economy Profiles: Romania, Travel&Tourism  Following commerce, tourism is the second largest component of the services sector. Tourism is one of the most dynamic and fastest developing sectors of the economy of Romania and characterized by a huge potential for development. According to the World Travel and Tourism Council Romania is the fourth fastest growing country in the world in terms of travel and tourism total demand with a yearly potential growth of 8% from 2007-2016.  WTTC spells out policy recommendations for Romania to tap travel and tourism potential  Number of tourists grew from 4.8 million in 2002 to 6.6 million in 2004. Similarly, the revenues grew from 400 million in 2002 to 607 in 2004. The Europa World Year Book 2007, 48th edition,  volume II, published by Routledge, London 2007, page 3746  In 2006, Romania registered 20 million overnight stays by international tourists, an all-time record,  20 million overnight stays by international tourists  but the number for 2007 is expected to increase even more.  Romanian National Institute of Statistics published a report for the first 9 months of 2007 showing an increase from the previous year of 8.7% to 16.5 million (for first 9 months)  ","[3116, 3115, 3122]",0.0
Are there many Roma in Romania?,No.,Hungarians,"Passage 1: According to the 2002 census, Romania has a population of 21,698,181 and, similarly to other countries in the region, is expected to gently decline in the coming years as a result of sub-replacement fertility rates. Romanians make up 89.5% of the population. The largest ethnic minorities are Hungarians, who make up 6.6% of the population and Roma, or Gypsies, who make up 2% of the population. By the official census 535,250 Roma live in Romania. 2002 census data, based on  Population by ethnicity, gives a total of 535,250 Roma in Romania. This figure is disputed by other sources, because at the local level, many Roma declare a different ethnicity (mostly Romanian, but also Hungarian in the West and Turkish in Dobruja) for fear of discrimination. Many are not recorded at all, since they   do not have ID cards. International sources give higher figures than the official census( UNDP's Regional Bureau for Europe,  World Bank,  International Association for Official Statistics).   usatoday: European effort spotlights plight of the Roma  Hungarians, who are a sizeable minority in Transylvania, constitute a majority in the counties of Harghita and Covasna. Ukrainians, Germans, Lipovans, Turks, Tatars, Serbs, Slovaks, Bulgarians, Croats, Greeks, Russians, Jews, Czechs, Poles, Italians, Armenians, as well as other ethnic groups, account for the remaining 1.4% of the population.  Official site of the results of the 2002 Census 

Passage 2: There are 4 more cities in Romania, with a population of around 310,000 that are also present in EU top 100 most populous cities. These are: Cluj-Napoca, TimiÅoara, ConstanÅ£a and IaÅi. Other cities with a population of at least 200,000 people are Craiova, GalaÅ£i, BraÅov, PloieÅti, BrÄila and Oradea.

Passage 3: Romania has its unique culture, which is the product of its geography and of its distinct historical evolution. Like Romanians themselves, it is fundamentally defined as the meeting point of three regions: Central Europe, Eastern Europe, and the Balkans, but cannot be truly included in any of them.  ROMANIA - CULTURE  The Romanian identity formed on a substratum of mixed Roman and quite possibly Dacian elements,    with many other influences. During late Antiquity and the Middle Ages, the major influences came from the Slavic peoples who migrated and settled in nearby Bulgaria, Serbia, Ukraine and eventually Russia;  from medieval Greeks and the Byzantine Empire;  from a long domination by the Ottoman Empire;  from the Hungarians;  and from the Germans living in Transylvania. Modern Romanian culture emerged and developed over roughly the last 250 years under a strong influence from Western culture, particularly French  and German culture.","[3101, 3108, 3128]",0.0
How many territories joined to form Romania?,2.,3,"Passage 1: Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.

Passage 2: Romania has been a member of the European Union since January 1 2007, and has the ninth largest territory in the EU and with 22 million people      it has the 7th largest population among the EU member states. Its capital and largest city is Bucharest (   ), the sixth largest city in the EU with almost 2.5 million people. In 2007, Sibiu, a large city in Transylvania, was chosen as European Capital of Culture.    Romania joined NATO on March 29, 2004, and is also a member of the Latin Union, of the Francophonie and of OSCE.

Passage 3: The 1878-1914 period was one of stability and progress for Romania. During the Second Balkan War, Romania joined Greece, Serbia, Montenegro and Turkey against Bulgaria. In the peace Treaty of Bucharest (1913) Romania gained Southern Dobrudja - the Quadrilateral (the Durostor and Caliacra counties).","[3046, 3047, 3075]",0.0
Does Romania share a border with Ukraine?,yes,Yes,"Passage 1: Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.

Passage 2: Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.

Passage 3: With a surface area of 238,391 kmÂ², Romania is the largest country in southeastern Europe and the twelfth-largest in Europe. A large part of Romania's border with Serbia and Bulgaria is formed by the Danube. The Danube is joined by the Prut River, which forms the border with the Republic of Moldova. The Danube flows into the Black Sea within Romania's territory forming the Danube Delta, the second largest delta in Europe,  and a biosphere reserve and a biodiversity World Heritage Site. Other important rivers are the Siret, running north-south through Moldavia, the Olt, running from the oriental Carpathian Mountains to Oltenia, and the MureÅ, running through Transylvania from East to West.","[3045, 3046, 3092]",1.0
