question,rewritten_question,ground_truth,generated_answer,context,distance,confidence,retrieved_index
What is the highest mountain in Romania?,What is the highest mountain in Romania?,Moldoveanu Peak.,Moldoveanu Peak,"Romania's terrain is distributed roughly equally between mountainous, hilly and lowland territories. The Carpathian Mountains dominate the center of Romania, with fourteen of its mountain ranges reaching above the altitude of 2,000 meters. The highest mountain in Romania is Moldoveanu Peak (2544 m). In south-central Romania, the Carpathians sweeten into hills, towards the BÄrÄgan Plains. Romania's geographical diversity has led to an accompanying diversity of flora and fauna. ",0.510833,high,3093
What is the official language of Romania?,What is the official language of Romania?,Romanian.,Romanian,"The official language of Romania is Romanian, an Eastern Romance language related to Italian, French, Spanish, Portuguese and Catalan. Romanian is spoken as a first language by 91% of the population, with Hungarian and Romani being the most important minority languages, spoken by 6.7% and 1.1% of the population, respectively.  Until the 1990s, there was also a substantial number of German-speaking Transylvanian Saxons, even though many have since emigrated to Germany, leaving only 45,000 native German speakers in Romania. In localities where a given ethnic minority makes up more than 20% of the population, that minority's language can be used in the public administration and justice system, while native-language education and signage is also provided. English and French are the main foreign languages taught in schools. English is spoken by 5 million Romanians, French is spoken by 4-5 million, and German, Italian and Spanish are each spoken by 1-2 million people.   Outsourcing IT Ã®n RomÃ¢nia, Owners Association of the Software and Service Industry, retrieved November 13 2005  Historically, French was the predominant foreign language spoken in Romania, even though English has since superseded it. Consequently, Romanian English-speakers tend to be younger than Romanian French-speakers. Romania is, however, a full member of La Francophonie, and hosted the Francophonie Summit in 2006.   Chronology of the International Organization La Francophonie  German has been taught predominantly in Transylvania, due to traditions tracing back to the Austro-Hungarian rule in this province.",0.5812313,high,3103
Is the Romanian economy doing well?,Is the Romanian economy doing well?,Yes.,Romania is the 10th country in the world with a bigger percentage of people connected to the internet than the USA.,"After a series of privatisations and reforms in the late 1990s and early 2000s, government intervention in the Romanian economy is somewhat lower than in other European economies.  Index of Economic Freedom: Romania  In 2005, the government replaced Romania's progressive tax system with a flat tax of 16% for both personal income and corporate profit, resulting in the country having the lowest fiscal burden in the European Union,  Taxation trends in the EU, Eurostat, 26 June 2007  a factor which has contributed to the growth of the private sector. The economy is predominantly based on services, which account for 55% of GDP, even though industry and agriculture also have significant contributions, making up 35% and 10% of GDP, respectively. Additionally, 32% of the Romanian population is employed in agriculture and primary production, one of the highest rates in Europe.  Since 2000, Romania has attracted increasing amounts of foreign investment, becoming the single largest investment destination in Southeastern and Central Europe. Foreign direct investment was valued at â¬8.3 billion in 2006.  Romania: FDI reached over EUR 8.3 bn  According to a 2006 World Bank report, Romania currently ranks 49th out of 175 economies in the ease of doing business, scoring higher than other countries in the region such as Hungary, Poland and the Czech Republic.  Economy Ranking, Doing Business 2007 Report, World Bank  Additionally, the same study judged it to be the world's second-fastest economic reformer in 2006.  Doing Business 2007 Report, World Bank  The average gross wage per month in Romania is 1411 lei as of September 2007,    Average wage in September 2007, National Institute of Statistics, Romania  equating to â¬403.3 (US$597.3) based on international exchange rates, and $1001.1 based on purchasing power parity.  Implied PPP conversion rate for Romania, IMF, 2006  The percentage of computers connected to the internet in the country reaches almost 70% and more than 50% have broadband connections reaching a 4 Mbit/s (megabits per sec) average. From this aspect, Romania is the 10th country in the world with a bigger percentage of people connected to the internet than the USA.   ""RomÃ¢naÅul High-Tech"" A C.U.R.S. poll published in the Jurnalul NaÅ£ional newaspaper:",0.61819446,high,3116
Are there many Roma in Romania?,Are there many Roma in Romania?,No.,"535,250 Roma in Romania","According to the 2002 census, Romania has a population of 21,698,181 and, similarly to other countries in the region, is expected to gently decline in the coming years as a result of sub-replacement fertility rates. Romanians make up 89.5% of the population. The largest ethnic minorities are Hungarians, who make up 6.6% of the population and Roma, or Gypsies, who make up 2% of the population. By the official census 535,250 Roma live in Romania. 2002 census data, based on  Population by ethnicity, gives a total of 535,250 Roma in Romania. This figure is disputed by other sources, because at the local level, many Roma declare a different ethnicity (mostly Romanian, but also Hungarian in the West and Turkish in Dobruja) for fear of discrimination. Many are not recorded at all, since they   do not have ID cards. International sources give higher figures than the official census( UNDP's Regional Bureau for Europe,  World Bank,  International Association for Official Statistics).   usatoday: European effort spotlights plight of the Roma  Hungarians, who are a sizeable minority in Transylvania, constitute a majority in the counties of Harghita and Covasna. Ukrainians, Germans, Lipovans, Turks, Tatars, Serbs, Slovaks, Bulgarians, Croats, Greeks, Russians, Jews, Czechs, Poles, Italians, Armenians, as well as other ethnic groups, account for the remaining 1.4% of the population.  Official site of the results of the 2002 Census ",0.6397628,high,3101
How many territories joined to form Romania?,How many territories joined to form Romania?,2.,3,"Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.",0.61999005,high,3046
Does Romania share a border with Ukraine?,Does Romania share a border with Ukraine?,yes,Yes,"Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.",0.660637,high,3045
Did Romania declare neutrality during World War I?,Did Romania declare neutrality during World War I?,yes,yes,"In August 1914, when World War I broke out, Romania declared neutrality. Two years later, under the pressure of Allies (especially France desperate to open a new front), on August 14/27 1916 it joined the Allies, for which they were promised support for the accomplishment of national unity, Romania declared war on Austria-Hungary.",0.47589314,high,3077
Does Romania share the same language with Moldova?,Romania shares the same language with Moldova. Which country has the same language?,yes,Moldova,"Relations with Moldova are rather special, considering that the two countries practically share the same language, and a fairly common historical background. Signs in the early 1990s that Romania and Moldova might unite after both countries achieved emancipation from communist rule, quickly faded away when a pro-Russian government was formed in Moldova. Romania remains interested in Moldovan affairs, but the two countries have been unable even to reach agreement on a basic bilateral treaty; Romania is insistent (against determined Moldovan resistance) that such a treaty would have to refer to Romania and Moldova's 'special relationship'. For more information see Movement for unification of Romania and Moldova.",0.6592406,high,3151
"Who was the first gymnast to score a perfect ""ten""?","Who was the first gymnast to score a perfect ""ten""?",Nadia Comăneci,Nadia Comneci,"In the 1976 Summer Olympics, the gymnast Nadia ComÄneci (coach: Bela Karolyi) became  the first gymnast ever to score a perfect ""ten"". She also won three gold medals, one silver and one bronze, all at the age of fifteen.  ""Gymnast Posts Perfect Mark"" Robin Herman, New York Times, March 28, 1976  Her success continued in the 1980 Summer Olympics, where she was awarded two gold medals and two silver medals.",0.5642269,high,3152
What is the largest city in Romania?,What is the largest city in Romania?,Bucharest,Bucharest,"Romania has been a member of the European Union since January 1 2007, and has the ninth largest territory in the EU and with 22 million people      it has the 7th largest population among the EU member states. Its capital and largest city is Bucharest (   ), the sixth largest city in the EU with almost 2.5 million people. In 2007, Sibiu, a large city in Transylvania, was chosen as European Capital of Culture.    Romania joined NATO on March 29, 2004, and is also a member of the Latin Union, of the Francophonie and of OSCE.",0.6130526,high,3047
What is the largest ethnic minority in Romania?,What is the largest ethnic minority in Romania?,Hungarians,Roma,"According to the 2002 census, Romania has a population of 21,698,181 and, similarly to other countries in the region, is expected to gently decline in the coming years as a result of sub-replacement fertility rates. Romanians make up 89.5% of the population. The largest ethnic minorities are Hungarians, who make up 6.6% of the population and Roma, or Gypsies, who make up 2% of the population. By the official census 535,250 Roma live in Romania. 2002 census data, based on  Population by ethnicity, gives a total of 535,250 Roma in Romania. This figure is disputed by other sources, because at the local level, many Roma declare a different ethnicity (mostly Romanian, but also Hungarian in the West and Turkish in Dobruja) for fear of discrimination. Many are not recorded at all, since they   do not have ID cards. International sources give higher figures than the official census( UNDP's Regional Bureau for Europe,  World Bank,  International Association for Official Statistics).   usatoday: European effort spotlights plight of the Roma  Hungarians, who are a sizeable minority in Transylvania, constitute a majority in the counties of Harghita and Covasna. Ukrainians, Germans, Lipovans, Turks, Tatars, Serbs, Slovaks, Bulgarians, Croats, Greeks, Russians, Jews, Czechs, Poles, Italians, Armenians, as well as other ethnic groups, account for the remaining 1.4% of the population.  Official site of the results of the 2002 Census ",0.51730305,high,3101
How many countries in Europe are bigger than Romania?  ,How many countries in Europe are bigger than Romania?,eleven,6,"Romania has been a member of the European Union since January 1 2007, and has the ninth largest territory in the EU and with 22 million people      it has the 7th largest population among the EU member states. Its capital and largest city is Bucharest (   ), the sixth largest city in the EU with almost 2.5 million people. In 2007, Sibiu, a large city in Transylvania, was chosen as European Capital of Culture.    Romania joined NATO on March 29, 2004, and is also a member of the Latin Union, of the Francophonie and of OSCE.",0.64948595,high,3047
Why doesn't Romania have a state religion?  ,Why doesn't Romania have a state religion?,Romania is a secular state,a secular state,"Romania is a secular state, thus having no national religion. The dominant religious body is the Romanian Orthodox Church; its members make up 86.7% of the population according to the 2002 census. Other important religions include Roman Catholicism (4.7%), Protestantism (3.7%), Pentecostal denominations (1.5%) and the Romanian Greek-Catholic Church (0.9%).  Romania also has a historically significant Muslim minority concentrated in Dobrogea, mostly of Turkish ethnicity and numbering 67,500 people.     Romanian Census Website with population by religion  Based on the 2002 census data, there are also 6,179 Jews, 23,105 people who are of no religion and/or atheist, and 11,734 who refused to answer. On December 27, 2006, a new Law on Religion was approved under which religious denominations can only receive official registration if they have at least 20,000 members, or about 0.1 percent of Romania's total population.  Romania President Approves Europe's ""Worst Religion Law""",0.61451006,high,3106
Why wasn't Romania neutral during World War II?,Why wasn't Romania neutral during World War II?,it received a Soviet ultimatum,under the pressure of Allies,"In August 1914, when World War I broke out, Romania declared neutrality. Two years later, under the pressure of Allies (especially France desperate to open a new front), on August 14/27 1916 it joined the Allies, for which they were promised support for the accomplishment of national unity, Romania declared war on Austria-Hungary.",0.5363697,high,3077
"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",What city in Transylvania was chosen as European Capital of Culture in 2015?,2007,Sibiu,"Romania has been a member of the European Union since January 1 2007, and has the ninth largest territory in the EU and with 22 million people      it has the 7th largest population among the EU member states. Its capital and largest city is Bucharest (   ), the sixth largest city in the EU with almost 2.5 million people. In 2007, Sibiu, a large city in Transylvania, was chosen as European Capital of Culture.    Romania joined NATO on March 29, 2004, and is also a member of the Latin Union, of the Francophonie and of OSCE.",0.7430286,high,3047
"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?","What are approximately 42,000 years old and have been nicknamed John of Anina?",the remains (the lower jaw) of the oldest modern human,Information not found in context,"In 2002, the oldest modern human (Homo sapiens sapiens) remains in Europe were discovered in the ""Cave With Bones"" (PeÅtera cu Oase) near Anina in present day Romania.    The remains (the lower jaw) are approximately 42,000 years old and have been nicknamed ""John of Anina"" (Ion din Anina). As Europeâs oldest remains of Homo sapiens, they may represent the first such people to have entered the continent.     The remains are especially interesting because they present a mixture of archaic, early modern human and Neanderthal morphological features.",0.9595188,low,3055
"Is it true that romania has a population of 21,698,181?","Is it true that Romania has a population of 21,698,181?",Yes,no,"There are 4 more cities in Romania, with a population of around 310,000 that are also present in EU top 100 most populous cities. These are: Cluj-Napoca, TimiÅoara, ConstanÅ£a and IaÅi. Other cities with a population of at least 200,000 people are Craiova, GalaÅ£i, BraÅov, PloieÅti, BrÄila and Oradea.",0.6855955,high,3108
What do economy and law have in common?,What are two things that economy and law have in common?,(not sure how to answer this),law and economy,Economy and law links,0.53297687,high,3160
What did Tourism in Romania attract in 2005?,What did tourism in Romania attract in 2005?,investments worth 400 million euros,400 million in investments,Tourism in Romania attracted â¬400 million in investments in 2005.   Archive from Gandul Newspaper - Tourism attracted in 2005 investments worth 400 million euros,0.37723553,high,3123
Is Romania a semi-presidential unitary state?,Is Romania a semi-presidential unitary state?,Yes,yes,"Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.",0.6603943,high,3046
Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister ?,Is Romania a semi-presidential democratic republic where executive functions are shared between the president and the prime minister?,Yes,yes,"Romania is a semi-presidential democratic republic where executive functions are shared between the president and the prime minister.  The president is elected by popular vote, and resides at Cotroceni Palace. Since the constitutional amendment of 2003, the president's term is five years (previously it was four).  The Romanian Government, which is based at Victoria Palace, is headed by a prime minister, who appoints the other members of his or her cabinet and who is nearly always the head of the party or coalition that holds a majority in the parliament. If, however, none of the parties hold 50% + 1 of the total seats in parliament, the president will appoint the prime minister. Before beginning its term, the government is subject to a parliamentary vote of approval.",0.48229358,high,3139
Was Gellu Naum the leader of the surrealist movement in Romania ?,Was Gellu Naum the leader of the surrealist movement in Romania?,Yes,yes,"In the period between the two world wars, authors like Tudor Arghezi, Lucian Blaga or Ion Barbu made efforts to synchronize Romanian literature with the European literature of the time. Gellu Naum was the leader of the surrealist movement in Romania. In the Communist era, valuable writers like Nichita StÄnescu, Marin Sorescu or Marin Preda managed to escape censorship, broke with ""socialist realism"" and were the leaders of a small ""Renaissance"" in Romanian literature. ÅtefÄnescu, Alex. - ""Nichita StÄnescu, Ãngerul cu o carte Ã®n mÃ¢ini"" (Nichita StÄnescu, The Angel With A Book In His Hands""), Edit. MaÅina de scris, 1999 - pag.8 ",0.41443235,high,3131
Was the Bucharest Metro only opened in 1979 ?,Was the Bucharest Metro only opened in 1979?,Yes,yes,"Bucharest is the only city in Romania which has an underground railway system. The Bucharest Metro was only opened in 1979. Now is one of the most accessed systems of the Bucharest public transport network with an average ridership of 600,000 passengers during the workweek.",0.5642778,high,3120
"Is romania -LRB- , -RRB- a country in southeastern europe?",Is romania a country in southeastern europe?,Yes,yes,"Romania ( ,  ) is a country in Southeastern Europe. It shares a border with Hungary and Serbia to the west, Ukraine and the Republic of Moldova to the northeast, and Bulgaria to the south. Romania has a stretch of sea coast along the Black Sea. It is located roughly in the lower basin of the Danube and almost all of the Danube Delta is located within its territory.",0.5048728,high,3045
Is romania a semi-presidential unitary state?,Is romania a semi-presidential state?,Yes,yes,"Romania is a semi-presidential unitary state. As a nation-state, the country was formed by the merging of Moldavia and Wallachia in 1859 and it gained recognition of its independence in 1878. Later, in 1918, they were joined by Transylvania, Bukovina and Bessarabia. At the end of World War II, parts of its territories (roughly the present day Moldova) were occupied by USSR and Romania became a member of Warsaw Pact. With the fall of the Iron Curtain in 1989, Romania started a series of political and economic reforms that peaked with Romania joining the European Union.",0.752464,high,3046
Do singaporeans enjoy squid?,Do singaporeans like to eat squid?,"Yes, they do.",yes,"Local foods are diverse, ranging from Hainanese chicken rice to satay. Singaporeans also enjoy a wide variety of seafood including crabs, clams, squid, and oysters. One such dish is stingray barbecued and served on banana leaf and with sambal or chili.",0.7353691,high,2775
Did Singapore's standard of living decrease since independence?,Did Singapore's standard of living increase since independence?,"No, the standard living was raised.",Yes,"Since independence, Singapore's standard of living has increased progressively. A state-led industrialization drive, aided by foreign direct  investment has created a modern economy based on electronics manufacturing, petrochemicals, tourism and financial services alongside the traditional entrepÃ´t trade. Singapore is the 17th wealthiest country in the world in terms of GDP per capita.  ",0.5845663,high,2701
Did the media contribute 15.6% to Singapore's GDP in 2001?,Did the media contribute 15.6% to Singapore's GDP in 2001?,"No, it contributed 1.56% to GDP in 2001.",no,"The media of Singapore play an important role in Singapore, one of the key strategic media centres in the Asia-Pacific region.    This is in line with the government's aggressive push to establish Singapore as a media hub in the world under the Media 21 plan launched in 2002.    Comprising of the publishing, print, broadcasting, film, music, digital and IT media sectors, the media industry collectively employed about 38,000 people and contributed 1.56% to Singapore's gross domestic product (GDP) in 2001 with an annual turnover of S$10 billion. The industry grew at an average rate of 7.7% annually from 1990 to 2000, and the government seeks to increase its GDP contribution to 3% by 2012.",0.4065068,high,2780
How many people use the bus network daily?,How many people use the bus network daily?,More than 2.78 million people.,2.78 million,"More than 2.78 million people use the bus network daily, while more than 1.3 million people use either the LRT or MRT as part of their daily routine.    Approximately 991,000 people use the taxi services daily.  Private vehicle use in the Central Area is discouraged by tolls implemented during hours of heavy road traffic, through an Electronic Road Pricing system. Private vehicle ownership is discouraged by high vehicle taxes and imposing quotas on vehicle purchase.",0.62886095,high,2810
Where did Orang Laut people live?,Where did the Orang Laut people live?,"Orang Laut people lived around the coast, rivers and smaller islands.",Information not found in context,"The critically endangered Sumatran Orangutan, a great ape endemic to Indonesia",0.99073315,low,800
What is the MRT?,What is the MRT?,One of three heavy rail passenger transport lines in Singapore.,Information not found in context,"Since 1987, the heavy rail passenger Mass Rapid Transit (MRT) metro system has been in operation. MRT has been further augmented by the Light Rapid Transit (LRT) light rail system, which provides service to housing estates. Established in 2001, EZ-Link system allows contactless smartcards to serve as stored value tickets for use in the public transport systems in Singapore.",0.93536663,low,2809
How is Singapore's climate characterized?,How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.,uniform temperature and pressure,"Under the KÃ¶ppen climate classification system, Singapore has a tropical rainforest climate with no distinctive seasons. Its climate is characterized by uniform temperature and pressure, high humidity, and abundant rainfall. Temperatures range from 22 Â°C to 34 Â°C (72Â° 93 Â°F). On average, the relative humidity is around 90 percent in the morning and 60 percent in the afternoon. During prolonged heavy rain, relative humidity often reaches 100 percent.    The lowest and highest temperatures recorded in its maritime history are   and   respectively. The highest wind speed recorded was   on May 26 2007. June and July are the hottest months, while November and December make up the wetter monsoon season. From August to October, there is often haze, sometimes severe enough to prompt public health warnings, due to bushfires in neighbouring Indonesia. Singapore does not observe daylight saving time or a summer time zone change. The length of the day is nearly constant year round due to the country's location near the equator.",0.580868,high,2732
How much increase in the media's contribution to GDP is the government seeking?,How much of the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. ,Information not found in context,"The media of Singapore play an important role in Singapore, one of the key strategic media centres in the Asia-Pacific region.    This is in line with the government's aggressive push to establish Singapore as a media hub in the world under the Media 21 plan launched in 2002.    Comprising of the publishing, print, broadcasting, film, music, digital and IT media sectors, the media industry collectively employed about 38,000 people and contributed 1.56% to Singapore's gross domestic product (GDP) in 2001 with an annual turnover of S$10 billion. The industry grew at an average rate of 7.7% annually from 1990 to 2000, and the government seeks to increase its GDP contribution to 3% by 2012.",0.8267369,low,2780
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days,six,"During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore. The ill-prepared British were defeated in six days, and surrendered the supposedly impregnable ""Bastion of the Empire"" to General Tomoyuki Yamashita on 15 February 1942 in what is now known as the British Empire's greatest military defeat. The Japanese renamed Singapore  , from Japanese  , or ""southern island obtained in the age of ShÅwa"", and occupied it until the British repossessed the island on September 12 1945, a month after the Japanese surrender.",0.6263858,high,2711
Is Singapore located at the southern tip of the Korean Penisula?,Is Singapore located at the southern tip of the Korean Penisula?,no,no,"Singapore ( ;  ;  ,  ), officially the Republic of Singapore ( ;  ;  ,  ), is an island nation located at the southern tip of the Malay Peninsula. It lies 137 kilometres (85 mi) north of the Equator, south of the Malaysian state of Johor and north of Indonesia's Riau Islands. At 704.0 kmÂ² (272 sq mi), it is one of the few remaining city-states in the world and the smallest country in Southeast Asia.",0.6815666,high,2699
Is Singapore a city-state?,Is Singapore a city-state?,yes,one of the few remaining,"Singapore ( ;  ;  ,  ), officially the Republic of Singapore ( ;  ;  ,  ), is an island nation located at the southern tip of the Malay Peninsula. It lies 137 kilometres (85 mi) north of the Equator, south of the Malaysian state of Johor and north of Indonesia's Riau Islands. At 704.0 kmÂ² (272 sq mi), it is one of the few remaining city-states in the world and the smallest country in Southeast Asia.",0.6226658,high,2699
Has Sang Nila Utama visited Singapore?,Is Sang Nila Utama a Singaporean?,yes,Information not found in context,"The name Singapura is derived from the Sanskrit words singa à®à®¿à®à¯à®     (""lion"") and   à®ªà¯à®°   (""city"").    According to the Malay Annals, this name was given by a 14th century Sumatran prince named Sang Nila Utama, who, landing on the island after a thunderstorm, spotted an auspicious beast on the shore that his chief minister identified as a lion.    ",0.8366461,low,2704
"What does ""singa"" mean?","What does ""singa"" mean?",lion,Information not found in context,"The name Singapura is derived from the Sanskrit words singa à®à®¿à®à¯à®     (""lion"") and   à®ªà¯à®°   (""city"").    According to the Malay Annals, this name was given by a 14th century Sumatran prince named Sang Nila Utama, who, landing on the island after a thunderstorm, spotted an auspicious beast on the shore that his chief minister identified as a lion.    ",0.82410866,low,2704
When is the first record of S08_settlement in Singapore?,When is the first record of S08_settlement in Singapore?,second century AD,Information not found in context,  Singapore is 44th (as on 2006).  The small nation has a foreign reserve of S$222 billion (US$147 billion).,0.8782269,low,2702
Which nation invaded Singapore during World War II?,Which country invaded Singapore during World War II?,Japan,Imperial Japanese Army,"During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore. The ill-prepared British were defeated in six days, and surrendered the supposedly impregnable ""Bastion of the Empire"" to General Tomoyuki Yamashita on 15 February 1942 in what is now known as the British Empire's greatest military defeat. The Japanese renamed Singapore  , from Japanese  , or ""southern island obtained in the age of ShÅwa"", and occupied it until the British repossessed the island on September 12 1945, a month after the Japanese surrender.",0.63944304,high,2711
"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?","Why did Churchill call the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days,Information not found in context,"During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore. The ill-prepared British were defeated in six days, and surrendered the supposedly impregnable ""Bastion of the Empire"" to General Tomoyuki Yamashita on 15 February 1942 in what is now known as the British Empire's greatest military defeat. The Japanese renamed Singapore  , from Japanese  , or ""southern island obtained in the age of ShÅwa"", and occupied it until the British repossessed the island on September 12 1945, a month after the Japanese surrender.",1.3072404,low,2711
Was Lee Kuan Yew a successful leader of Singapore?,Was Lee Kuan Yew a successful leader of Singapore?,yes,Information not found in context,"In 2004, Lee Hsien Loong, the eldest son of Lee Kuan Yew, became the third prime minister.    Amongst his more notable decisions is the plan to open casinos to attract more foreign tourists.",0.8080841,low,2716
When did Goh Chok Tong succeed Lee as Prime Minister?,When did Goh Chok Tong become Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister.",1990,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister. During his tenure, the country tackled the impacts of the 1997 Asian financial crisis, the 2003 SARS outbreak, and terrorist threats posed by the Jemaah Islamiyah group after the September 11 attacks.",0.58421516,high,2715
What is the primary domestic source of water supply?,What is the primary domestic source of water supply?,The primary domestic source of water supply in Singapore is rainfall.,rainfall,"Without natural freshwater rivers and lakes, the primary domestic source of water supply in Singapore is rainfall, collected in reservoirs or catchment areas. Rainfall supplies approximately 50 percent of Singapore's water; the remainder is imported from neighbouring countries or obtained from recycled water facilities and desalination plants. More NEWater and desalination plants are being built or proposed to reduce reliance on import.",0.65848494,high,2734
What is the national language of Singapore?,What is the national language of Singapore?,The national language of Singapore is Malay.,Malay,"The national language of Singapore is Malay for historical reasons, and it is used in the national anthem, ""Majulah Singapura"". The official languages are English, Mandarin, Malay and Tamil. English has been promoted as the country's language of administration since independence. The English used is primarily based on British English, with some American English influences.  The use of English became widespread in Singapore after it was implemented as a first language medium in the education system, and English is the most common language in Singaporean literature.  Public signs and official publications are in English, although there are translated versions in other official languages. However, the majority of the population speak a localised hybrid form of English known as Singlish (""Singapore English""), which has many creole-like characteristics, incorporating vocabulary and grammar from Standard English, various Chinese dialects, Malay and Indian languages. The government has consistently tried to discourage the use of Singlish in its ""Speak Good English"" campaigns.",0.5150613,high,2772
Where is the National Orchid Garden?,Where is the National Orchid Garden?,Singapore Botanic Gardens.,Singapore Botanic Gardens,"Singapore Botanic Gardens, a 67.3-hectare (166 acre) Botanic Gardens in Singapore that includes the National Orchid Garden, which has a collection of more than 3,000 species of orchids.",0.63763493,high,2730
Why are relations with Malaysia and Indonesia important?,Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important.",foreign powers drawn to its natural resources,"The Indonesian archipelago has been an important trade region since at least the seventh century, when the Srivijaya Kingdom formed trade links with China. Indonesian history has been influenced by foreign powers drawn to its natural resources. Under Indian influence, Hindu and Buddhist kingdoms flourished from the early centuries CE. Muslim traders brought Islam, and European powers fought one another to monopolize trade in the Spice Islands of Maluku during the Age of Exploration. Following three and a half centuries of Dutch colonialism, Indonesia secured its independence after World War II. Indonesia's history has since been turbulent, with challenges posed by natural disasters, corruption, separatism, a democratization process, and periods of rapid economic change.",0.74397755,high,751
What is the most densely populated independent country in the world?,What is the most densely populated independent country in the world?,Monaco,Canada,"The population density,  , is among the lowest in the world.    The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.   ",0.6547413,high,2326
Who did Sir Thomas Stamford Raffles work for?,Sir Thomas Stamford Raffles worked for whom?,British East India Company,Information not found in context,"Statue of Thomas Stamford Raffles by Thomas Woolner, erected at the location where he first landed at Singapore. He is recognized as the founder of modern Singapore.",0.7884124,low,2710
When was Lee Kuan Yew prime minister of Singapore?,When was Lee Kuan Yew prime minister of Singapore?,1959,1962,"Singapore became a self-governing state in 1959 with Yusof bin Ishak its first Yang di-Pertuan Negara and Lee Kuan Yew its first Prime Minister. Following the 1962 Merger Referendum of Singapore, Singapore joined Malaya, along with Sabah and Sarawak, to form the Federation of Malaysia on September 16 1963, but separated from it two years later after heated ideological conflict between the state's PAP government and the federal Kuala Lumpur government. Singapore officially gained sovereignty on 9 August 1965.    Yusof bin Ishak was sworn in as the first President of Singapore and Lee Kuan Yew remained prime minister.",0.6471325,high,2713
What is the punishment for first-degree murder?,What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.,Information not found in context,"The Sedition Act criminalized anyone who publicly criticized the federal government. Some of the punishments included 2-5 years in prison and fines of $2,000 to $5,000. Adams had not designed or promoted any of these acts but he did sign them into law because he had no problem punishing those who abused the government.",1.1717618,low,686
What established a trading post on the island in 1819?,Who established a trading post on the island in 1819?,British East India Company ,Information not found in context,"French explorer Samuel de Champlain arrived in 1603 and established the first permanent European settlements at Port Royal in 1605 and Quebec City in 1608. These would become respectively the capitals of Acadia and Canada. Among French colonists of New France, Canadiens extensively settled the St. Lawrence River valley, Acadians settled the present-day Maritimes, while French fur traders and Catholic missionaries explored the Great Lakes, Hudson Bay and the Mississippi watershed to Louisiana. The French and Iroquois Wars broke out over control of the fur trade.",1.0676644,low,2279
What used Singapore as a strategic trading post along the spice route?,What country used Singapore as a strategic trading post along the spice route?,British,China,"Singapore is a major Asian transportation hub, positioned on many sea and air trade routes.",0.64642936,high,2802
What became one of the most important commercial and military centres of the British Empire?,What was one of the most important commercial and military centres of the British Empire?,Singapore,Information not found in context,"Strong attachment to the British Empire and Commonwealth in English Canada led to major participation in British military efforts in the Second Boer War, the First World War, and the Second World War. Since then, Canada has been an advocate for multilateralism, making efforts to resolve global issues in collaboration with other nations. ",1.2283068,low,2312
"Who boasted a sizeable community of 100,000 by 1869?","Who boasted a sizeable community of 100,000 by 1869?",British India office,Information not found in context,"* The Education of Henry Adams by Henry Adams. (1918). ""President Grant (1869)"", 260-65. ",1.1794837,low,1909
